Periodo,Area,Subarea,Antiguedad,eNPS_Score,Motivation_Score,Manager_NPS,Liderazgo_Texto,Mejoras_Texto,Mejoras_Categoria,Valoras_Texto,Valoras_Categoria,Salario_Satisfecho,Lider_Claro_Objetivos,Lider_Comunica_Prioridades,Lider_Da_Feedback,Lider_Incentiva_Colaboracion,Lider_Da_Herramientas,Lider_Referente_Cultura
Q1 2025,UX,Service,0 a 3 meses,9,9,9,"Considero que mi líder juega un rol clave en la gestión y desarrollo del equipo. Su capacidad para motivarnos, brindar orientación y generar un ambiente de trabajo colaborativo es fundamental. Siempre está dispuesta a escuchar, guiar y apoyar en la solución de desafíos, lo que hace que sea un referente importante en nuestra gestión. Sin duda, recomendaría su liderazgo como un ejemplo a seguir","
Para mejorar la experiencia en Bia, podemos fortalecer la comunicación, aumentar el feedback y reconocimiento, impulsar capacitaciones y optimizar herramientas y procesos para mayor eficiencia. ",Plan de Carrera y Capacitación,"Me siento muy motivada de trabajar en Bia. Es un lugar donde puedo crecer profesionalmente, aportar al equipo y marcar la diferencia en la experiencia de nuestros clientes. Además, el ambiente de trabajo es dinámico y retador, lo que me impulsa a seguir aprendiendo y mejorando cada día. ¡Definitivamente, me gusta lo que hago y el impacto que generamos!",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,OPS,FieldOps,6 meses a 1 año,10,9,10,"Sebas Chacon es un líder que fomenta un buen ambiente de trabajo, mantiene una comunicación clara y brinda oportunidades de crecimiento personal y profesional tiene un gran impacto en el equipo. La motivación y el desarrollo continuo son clave para que todos se sientan valorados y con ganas de mejorar.","El campo de BIA (Business Intelligence and Analytics) es fascinante y tiene un gran potencial de crecimiento, tanto a nivel profesional como de impacto en las decisiones empresariales. Además, es un área con mucha demanda, lo que lo hace atractivo para quienes disfrutan trabajar con datos y resolver problemas complejos.

Por supuesto, la experiencia puede variar según el equipo, la cultura y los proyectos, pero en general, el campo de BIA tiene mucho que ofrecer.",Plan de Carrera y Capacitación,"El mundo de la inteligencia empresarial y el análisis de datos es increíblemente dinámico y tiene un gran impacto en las decisiones estratégicas de las empresas. Ayudar a las organizaciones a descubrir patrones, optimizar procesos y tomar decisiones basadas en datos es algo realmente poderoso.",Impacto y Propósito,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,Marketing,Partnerships,Más de 1 año,9,9,9,Siento que llevo poco con mi lider pero algo muy chevere es que tiene claro para donde quiere llevar el area y los proyectos ,revisar el tema de beneficios creo que ahi nos falta un poco ,Beneficios y Salario,siento que trabajar en bia es un provilegio ya que es un ambiente de aprendizaje continuo y crecimiento tanto personal como profesionalmente ,Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,OPS,FieldOps,0 a 3 meses,9,9,10,Persona muy responsable y líder magnifico,Estamos en formación debemos mejorar algunos procesos,Procesos y Herramientas,Motivación y alcanzar el exito,General / Otros,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,OPS,FieldOps,Más de 2 años,10,10,10,Más que un líder es una persona muy dedicada a su entorno laboral y vela por la función de su área. Es una persona que se dedica a mejorar su equipo y le mete mucho corazon ,Podrían mejorar con incentivos a los que estudian,Beneficios y Salario,"Con cada reto que se vive al día día, dan muchas ganas de seguirlas asumiéndolas y seguir creciendo",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,OPS,Success,0 a 3 meses,9,10,8,De momento el tiempo es prudente apuntar a seguir creciendo colaborativamente ,CNI,Sin comentarios,Ser parte de una compañía que hace la diferencia en el área electrica desde la parte tecnológica puedo tener una meta clara a mediano y largo plazo y desde la área que me encuentro llegar a alcanzar esa tranquilidad laboral y desde mi área profesional poder seguir creciendo.,Crecimiento y Aprendizaje,Si.,Si.,Parcialmente.,Si.,Si.,Parcialmente.,Si.
Q1 2025,OPS,FieldOps,Más de 1 año,5,7,10,"Tiene adaptabilidad sabe del tema, se desenvuelve fácil de cualquier situación o percance ",Mejorar un poco más la calidad humana ,Sin comentarios,Percances con el anterior lider,Equipo y Cultura,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,OPS,VP,0 a 3 meses,10,10,10,Buen líder ,..,Sin comentarios,Exelente ,General / Otros,Si.,No.,Si.,Si.,Si.,Si.,Si.
Q1 2025,OPS,FieldOps,Más de 1 año,7,6,8,"Mis dos lideres son buenos, sin embargo nos falta comprender mas o apoyar las personas que ejecutan los proyectos, al fin de cuentas los cambios rápidos y la no priorización de foco de la empresa no apoya en lo que se necesita para que la empresa céntrica","Mejor formulación y entendimiento del mercado, devolviendo la cultura que se ha perdido y el apoyo mas condicional al trabajador que esta en el pozo de fuego. Adicionalmente, mejorar el sistema de calificación donde se permita entender que es una startup y no una compañía donde todo funciona.",Sin comentarios,"La empresa no prioriza o comprende como expandir el mercado y tampoco se comunicar con viabilidad la información a los trabajadores, tampoco comprende la labor técnica ejecuta o como se deberia ejecutar ",Impacto y Propósito,No.,Parcialmente.,Parcialmente.,Parcialmente.,Parcialmente.,Parcialmente.,Parcialmente.
Q1 2025,Tech,Internal,Más de 1 año,9,10,9,"Calificaría con un 9, ya que mi líder es una persona muy capaz, con un alto nivel de conocimiento y un rol fundamental en los resultados del equipo. Su experiencia y habilidades aportan mucho al desarrollo del grupo. Aunque considero que una comunicación más fluida podría fortalecer aún más la dinámica del equipo, su liderazgo sigue siendo clave para nuestro desempeño y crecimiento.","Calificaría con un 9, ya que Bia es una empresa con un excelente ambiente de trabajo, grandes oportunidades de aprendizaje y desafíos interesantes. Es un lugar donde se pueden desarrollar habilidades y crecer profesionalmente. Sin embargo, como en cualquier empresa en crecimiento, hay aspectos que pueden mejorar, como la planificación y la distribución de la carga laboral, para asegurar un mejor equilibrio y bienestar del equipo.",Plan de Carrera y Capacitación,"""Califico mi motivación con un 9 o 10, ya que disfruto mucho mi trabajo en Bia, el ambiente y los desafíos que enfrentamos. Sin embargo, mi ánimo puede verse afectado cuando recibo calificaciones bajas en el feedback, especialmente cuando sé que los resultados no dependen solo de mi desempeño, sino también de factores como la planificación y la carga de trabajo. Considero que una mejor gestión en estos aspectos podría ayudarnos a todos a alcanzar nuestros objetivos con mayor eficiencia y sin afectar la motivación del equipo.""",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,Producto,SD&R,Más de 1 año,5,8,10,"Creo que Gabi como líder directa representa los valores de Bia y tiene muchos skills que ayudan a navegar la incertidumbre que vivimos en el día a día. Adicionalmente, es una persona muy inteligente y resolutiva que logra sacar todo tipo de proyectos. ",Teniendo más foco para que a pesar de la incertidumbre del camino todos sepamos la meta a la que queremos llegar como compañía y tengamos claro cual es nuestro papel en llegar a este foco. ,Cultura y Liderazgo,Creo que la falta de claridad como equipo genera que los resultados de cara a la compañia no sean tan evidentes y que las personas no perciban ese valor me genera frustración,Equipo y Cultura,Si.,Si.,Parcialmente.,Si.,Parcialmente.,Parcialmente.,Si.
Q1 2025,Producto,PM & Delivery,Más de 2 años,4,10,10,Recomiendo a mi líder como un referente porque ha demostrado una gestión clara y estratégica del equipo. Su capacidad para motivar y priorizar objetivos clave ha sido fundamental para nuestra ejecución. ,"Mi calificación se debe a una experiencia negativa relacionada con los layoffs que ocurrieron, en los cuales cuatro personas que recomendé fueron afectadas. En su momento, les había hablado muy bien de Bia y promoví la empresa como una gran oportunidad, por lo que su salida inesperada generó cierta falta de claridad sobre la estabilidad de los roles. Esto me ha hecho ser más cautelosa al recomendar a alguien nuevamente, ya que también me afectó en lo personal al quedar en una posición incómoda con esas personas. ",Sin comentarios,"Me siento muy motivada por el crecimiento que está teniendo la empresa y emocionada de ser parte del impacto que generará en la industria energética. Además, valoro mucho las oportunidades de desarrollo profesional que he tenido en Bia, ya que me han permitido aprender y aportar en distintos proyectos de alto impacto.",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,Tech,External,Más de 2 años,8,7,9,"Mi lider escucha, colabora y está pendiente de nuestros requerimientos para alcanzar las metas","Que se de prioridad en el salario a los que nos encontramos ya años trabajando en Bia, cumpliendo lo prometido como lo del performance review. Por lo general le dan mejor salario al nuevo",Beneficios y Salario,"El trabajo en equipo es impresionante, existe la transparencia en el equipo, se han alcanzado grandes logros, pero esperaba un aumento significativo en mi salario, ya que desde hace tiempo mis lideres han dicho que lo merezco y que van a realizar la gestion, pero esto no ha sido posible, esta vez se dijo que los que saquen un performance superior a 90 iban a tener el aumento, pero no fue asi y eso me tiene un poco bajo de nota ",Equipo y Cultura,No.,Si.,Si.,Si.,Si.,Si.,Si.
