Periodo;Area;Subarea;Antiguedad;Valores_Respuesta;Valor_Identificado
Q1 2026;Sales;Sales;4 meses a 6 meses;Ownership ;Self Management
Q1 2026;Operaciones;Técnicos;6 meses a 1 año;Ver oportunidades de mejora en los problemas , resolver problemas ;Problem Solver & Problem Seeker
Q1 2026;Operaciones;Ingeniería;2 años a 3 años;Team Player y problem solver debido a que son valores que implemento en mi día a día;Problem Solver & Problem Seeker
Q1 2026;Tech;Desarrollo;6 meses a 1 año;Alto rendimiento y aprendizaje constante, Bia es una empresa que siempre te reta y estos retos te ayudan a crecer ;Otro / No especificado
Q1 2026;AI, Automation & Data;Data;4 meses a 6 meses;con el valor del compañerismo, podernos llevar bien entre todos y facilitar el trabajo a otros y a uno mismo;Otro / No especificado
Q1 2026;Producto;Product Management;Más de 3 años;ADAPTABILITY ;Adaptability
Q1 2026;AI, Automation & Data;Data;1 año a 2 años;Problem solver y Self managment;Problem Solver & Problem Seeker
Q1 2026;Company- Staff;;Más de 3 años;Enamorarme de los problemas;Problem Solver & Problem Seeker
Q1 2026;UX;Service;0 a 3 meses;No recuerdo ahora los valores;Otro / No especificado
Q1 2026;AI, Automation & Data;AI & Automation;1 año a 2 años;"Problem Solver
Self Management";Problem Solver & Problem Seeker
Q1 2026;Operaciones;Supply Chain;4 meses a 6 meses;Problem Solver y Adaptabilidad, son valores que conjugan mucho con la forma de trabajar en que me eh transformado y mejorado, resolver problema de la mano con nuevas herramientas y tener la necesidad de adaptarme es un sentimiento unico;Adaptability
Q1 2026;Operaciones;Admin;0 a 3 meses;Problem solver & problem seeker, definitivamente. Me gusta más encontrar el problema que esperar a que me lo traigan, y una vez lo encuentro no puedo dejarlo ahí — necesito entender por qué pasa y construir algo que lo resuelva. No me conformo con el workaround.;Problem Solver & Problem Seeker
Q1 2026;Operaciones;Admin;2 años a 3 años;Me considero un problem solver porque me gusta apropiar los retos que están por resolver, buscar soluciones de manera proactiva y aportar también a otras áreas para que puedan superar sus propios desafíos.;Problem Solver & Problem Seeker
Q1 2026;Sales;Ops;4 meses a 6 meses;"Problem solver & problem seeker: nuestra área es transversal y siempre debemos buscar soluciones no solo para nuestros problemas si no para otras áreas

Adaptability
me adapto muy bien a todos los cambios de la compañía y mantengo el enfoque en entregar resultados";Problem Solver & Problem Seeker
Q1 2026;Producto;Product Management;Más de 3 años;adaptabilidad ;Adaptability
Q1 2026;Growth;D2D;0 a 3 meses;Innovación ;Otro / No especificado
Q1 2026;UX;Concierge;2 años a 3 años;User-Centric: Gestiono y trabajo mis objetivos con foco en el orden y la priorización, pero también en el cuidado de la experiencia del cliente. Busco agotar todos los recursos necesarios para preservar su continuidad con Bia y fortalecer su confianza en nuestro acompañamiento.;User Centric
Q1 2026;Sales;Sales;0 a 3 meses;problem solver, adaptability, a team player;Problem Solver & Problem Seeker
Q1 2026;People;SST;0 a 3 meses;"Problem Solver: Me enfoco en identificar y resolver problemas de manera efectiva, aportando soluciones prácticas y orientadas a resultados.
Team Player:  Disfruto trabajar en equipo, colaborando activamente para construir soluciones conjuntas y alcanzar objetivos comunes.
";Problem Solver & Problem Seeker
Q1 2026;Finanzas;Contabilidad y Taxes;6 meses a 1 año;El de adaptabilidad, creo que constantemente debo alinearme con mi equipo para cumplir nuestros objetivos.;Adaptability
Q1 2026;Growth;Partnerships;2 años a 3 años;Adaptabilidad;Adaptability
Q1 2026;Growth;Brand;0 a 3 meses;"Team player. 
Intento aprender mucho de mis compañeros y estar tan disponible como es posible para apoyar al equipo. ";A Team Player
Q1 2026;Operaciones;CGM;0 a 3 meses;Problem Problem solver, adaptability;Problem Solver & Problem Seeker
Q1 2026;People;People;4 meses a 6 meses;Adaptability: Siento que soy una persona que se adapta fácilmente a los cambios y a lo que la compañia requiera. No tengo inconveniente con el cambio y el dinamismo, especialmente si esto beneficia al equipo y a la empresa.;Adaptability
Q1 2026;UX;Concierge;2 años a 3 años;Me identifico principalmente con Problem Solver, ya que busco resolver de fondo las situaciones y asegurar cierres efectivos. También con Customer Center, porque siempre priorizo una buena experiencia para el cliente.;Problem Solver & Problem Seeker
Q1 2026;Operaciones;Técnicos;4 meses a 6 meses;PROBLEM RESOLVER, Ya que en terreno aprendemos a amar aún mas los problemas ya que allí nunca sabemos que nos vamos a encontrar en una nueva instalacion o preventa y siempre aprendemos a solucionarlos de la mejor manera, indiferentemente del problema que encontremos.;Problem Solver & Problem Seeker
Q1 2026;UX;CX;2 años a 3 años;"El valor con el que más me identifico es la Orientación al Cliente.

Desde mi rol en CX & Operaciones, cada decisión parte de una pregunta clave: ¿esto realmente le genera valor a quien está al otro lado? No lo veo como algo teórico, sino como una guía práctica en el día a día: al diseñar procesos, analizar indicadores o acompañar al equipo en casos complejos.

Me conecta especialmente este valor porque, en una empresa de energía, el cliente no es solo un dato; es una operación que depende de que todo funcione correctamente. Eso genera en mí un sentido de responsabilidad genuino y es lo que me impulsa a elevar constantemente nuestros estándares de calidad y respuesta.

Creo firmemente que la orientación al cliente no es un área, es una forma de pensar y actuar. Y es, sin duda, el valor que más disfruto fortalecer en mi equipo.";User Centric
